"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
-5.244253334E-1,1.013094788E3,0.000000000E0,-9.750833400E-3,4.942520440E-3
5.049236666E-1,1.013094177E3,5.087578473E-3,1.019605667E0,4.934361712E-3
1.534287667E0,1.013093567E3,1.016683278E-2,2.048977167E0,4.934292214E-3
2.563666667E0,1.013092957E3,1.524608957E-2,3.078361167E0,4.942335615E-3
3.593055667E0,1.013092346E3,2.033367549E-2,3.691519667E0,4.194450048E-2
3.789983667E0,1.013091354E3,2.859372208E-2,4.321283667E0,8.964527593E-3
4.852583667E0,1.013090210E3,3.811942910E-2,5.383864167E0,1.136281082E-2
5.915144667E0,1.013088760E3,5.019310872E-2,6.446452667E0,1.853220527E-2
6.977760667E0,1.013086395E3,6.988572655E-2,7.509055167E0,1.673821035E-2
8.040349667E0,1.013084259E3,8.767156475E-2,8.571666667E0,1.136208427E-2
9.102983667E0,1.013082809E3,9.974530181E-2,9.634304168E0,1.494302136E-2
1.016562467E1,1.013080902E3,1.156243690E-1,1.069692467E1,4.780075473E-3
1.122822467E1,1.013080292E3,1.207036772E-1,1.175954967E1,3.588807370E-3
1.229087467E1,1.013079834E3,1.245173234E-1,1.282217767E1,1.075903963E-2
1.335348067E1,1.013078461E3,1.359499434E-1,1.388478517E1,6.815895057E-2
1.441608967E1,1.013069763E3,2.083762577E-1,1.494738467E1,2.026731210E-1
1.547867967E1,1.013043900E3,4.237346894E-1,1.600998217E1,3.354107350E-1
1.654128467E1,1.013001099E3,7.801438135E-1,1.707258517E1,4.735428169E-1
1.760388567E1,1.012940674E3,1.283330884E0,1.813517517E1,6.081166464E-1
1.866646467E1,1.012863083E3,1.929502862E0,1.919775367E1,6.829081417E-1
1.972904267E1,1.012775955E3,2.655146030E0,2.026035917E1,6.805218146E-1
2.079167567E1,1.012689133E3,3.378290967E0,2.132296367E1,6.255890691E-1
2.185425167E1,1.012609329E3,4.043026898E0,2.238553767E1,5.030090350E-1
2.291682367E1,1.012545166E3,4.577510214E0,2.344815517E1,3.618429137E-1
2.397948667E1,1.012499008E3,4.962027290E0,2.451085267E1,2.368304983E-1
2.504221867E1,1.012468796E3,5.213714639E0,2.557357817E1,1.106501598E-1
2.610493767E1,1.012454681E3,5.331304666E0,2.663624017E1,2.033717505E-2
2.716754267E1,1.012452087E3,5.352915050E0,2.769883617E1,0.000000000E0
2.823012967E1,1.012452087E3,5.352915050E0,2.876145917E1,0.000000000E0
2.929278867E1,1.012452087E3,5.352915050E0,2.982412117E1,1.787439985E-3
3.035545367E1,1.012451859E3,5.354814500E0,3.088677867E1,0.000000000E0
3.141810367E1,1.012451859E3,5.354814500E0,3.194949867E1,1.199325417E-3
3.248089367E1,1.012451706E3,5.356089131E0,3.301229917E1,0.000000000E0
3.354370467E1,1.012451706E3,5.356089131E0,3.407512417E1,1.794986279E-3
3.460654367E1,1.012451477E3,5.357996913E0,3.513793267E1,3.590179596E-3
3.566932167E1,1.012451019E3,5.361812477E0,"",""
