"Time (s)","Acceleration (m/s²)"
3.910041647E-3,-8.239615631E-1
4.375891661E-2,8.330528140E-3
8.360891661E-2,1.179143661E-1
1.234579167E-1,-9.344786167E-2
1.633069167E-1,1.035343087E-1
2.031569167E-1,-1.082261145E-2
2.430059167E-1,-5.279451013E-3
2.828549166E-1,1.777962863E-2
3.227049166E-1,-2.559443235E-2
3.625539166E-1,4.550887942E-3
4.024029166E-1,-7.543492913E-3
4.422529166E-1,6.597413421E-2
4.821019166E-1,2.258253157E-2
5.219509166E-1,-5.398149490E-3
5.618009166E-1,5.833767056E-3
6.016499166E-1,-1.499810815E-3
6.414989167E-1,-1.315623522E-4
6.813489167E-1,-1.892743707E-3
7.211979167E-1,2.028632998E-2
7.610469167E-1,2.121019006E-2
8.008969167E-1,-4.149827421E-2
8.407459166E-1,1.853158057E-2
8.805949166E-1,-9.309352040E-3
9.204439166E-1,2.602771103E-2
9.602939166E-1,-8.986585736E-3
1.000142917E0,2.754272461E-2
1.039991542E0,3.159835339E-3
1.079841542E0,2.068452537E-2
1.119690542E0,-1.882861912E-2
1.159539542E0,2.295032144E-3
1.199389542E0,-6.976897717E-3
1.239238542E0,2.762224674E-3
1.279087542E0,2.016704679E-3
1.318937542E0,-5.204021931E-4
1.358786542E0,2.479979575E-2
1.398635542E0,-4.838570952E-3
1.438484542E0,-7.073961496E-3
1.478334542E0,3.050258517E-2
1.518183542E0,-1.455196559E-2
1.558032542E0,1.299836040E-2
1.597882542E0,-6.896790862E-3
1.637731542E0,-1.183768809E-2
1.677580542E0,1.525830925E-2
1.717429542E0,3.099199712E-2
1.757279542E0,-3.052655876E-2
1.797128542E0,-8.811753988E-3
1.836977542E0,8.403618336E-3
1.876826542E0,-2.223111391E-3
1.916676542E0,1.708965719E-2
1.956525542E0,9.609314203E-3
1.996374542E0,2.278542995E-2
2.036225042E0,-1.283756196E-2
2.076074042E0,7.968000770E-3
2.115923042E0,1.171197295E-2
2.155772042E0,1.441221714E-2
2.195622042E0,4.983581901E-3
2.235471042E0,-1.642658293E-2
2.275320042E0,1.950397253E-2
2.315169042E0,2.729948044E-2
2.355019042E0,-1.820822954E-2
2.394868042E0,8.142247796E-3
2.434717042E0,8.297783732E-3
2.474566042E0,-1.430287421E-2
2.514416042E0,1.788897157E-2
2.554265042E0,2.628323436E-3
2.594114042E0,-1.623713315E-2
2.633963042E0,-1.788195491E-2
2.673813042E0,-6.353584528E-3
2.713662042E0,-4.404707551E-3
2.753511042E0,9.814551473E-3
2.793360042E0,1.879645944E-2
2.833209042E0,-2.460391402E-2
2.873059042E0,2.089911819E-2
2.912908042E0,9.376010299E-3
2.952757042E0,-1.741242349E-2
2.992606042E0,3.946695149E-2
3.032455833E0,-1.094598770E-3
3.072304833E0,-3.237544835E-2
3.112153833E0,1.372867763E-2
3.152002833E0,-2.590316534E-3
3.191852833E0,-5.133270621E-3
3.231701833E0,1.911747158E-2
3.271550833E0,2.180309772E-2
3.311399833E0,6.237809658E-3
3.351248833E0,2.240302205E-2
3.391098833E0,1.591612101E-3
3.430947833E0,2.194401562E-2
3.470796833E0,-2.304387689E-3
3.510645833E0,-6.572270393E-4
3.550494833E0,1.042032301E-2
3.590344833E0,-4.546794891E-3
3.630193833E0,1.820413649E-2
3.670042833E0,1.820589066E-2
3.709891833E0,6.086951494E-3
3.749740833E0,-1.665813267E-2
3.789590833E0,1.327961147E-2
3.829439833E0,6.097476482E-3
3.869288833E0,1.328253508E-2
3.909137833E0,-7.375093102E-3
3.948986833E0,1.912273407E-2
3.988836833E0,-1.171197295E-2
4.028685792E0,-1.575006008E-2
4.068534792E0,4.292207122E-2
4.108383792E0,1.119566381E-2
4.148232792E0,6.405624747E-3
4.188081792E0,1.853567362E-2
4.227931792E0,-1.409237444E-2
4.267780792E0,-1.962910295E-3
4.307629792E0,2.675101161E-3
4.347478792E0,1.179968119E-3
4.387327792E0,-1.214291275E-2
4.427176792E0,1.734751940E-2
4.467026792E0,-9.298827052E-3
4.506875792E0,4.176666141E-3
4.546724792E0,1.869764149E-2
4.586573792E0,3.280287981E-3
4.626422792E0,2.533013821E-3
4.666271792E0,-4.200055003E-3
4.706121792E0,2.229543328E-2
4.745970792E0,2.992604971E-2
4.785819792E0,-1.693002820E-2
4.825668792E0,-1.109509170E-2
4.865517792E0,1.914261460E-2
4.905366792E0,-3.698422372E-2
4.945216792E0,2.154172719E-2
4.985065792E0,-1.902333140E-2
5.024914917E0,-1.527935922E-2
5.064763917E0,7.777381539E-3
5.104612917E0,-2.185981572E-2
5.144461917E0,3.756192863E-2
5.184310917E0,-2.066639900E-2
5.224160917E0,1.637220383E-3
5.264009917E0,-1.048873544E-2
5.303858917E0,1.211250722E-2
5.343707917E0,1.226161122E-2
5.383556917E0,3.879042864E-3
5.423405917E0,2.882677317E-4
5.463254917E0,-2.411450207E-2
5.503104917E0,5.522695184E-3
5.542953917E0,1.106176257E-2
5.582802917E0,2.348885000E-2
5.622651917E0,1.331995726E-3
5.662500917E0,-5.403996706E-3
5.702349917E0,-4.212918878E-3
5.742198917E0,-2.716616392E-3
5.782047917E0,4.274314642E-4
5.821897917E0,1.509575665E-2
5.861746917E0,-1.199439347E-2
5.901595917E0,2.572482526E-2
5.941444917E0,-1.067116857E-3
5.981293917E0,-1.665871739E-3
6.021142708E0,3.127675653E-3
6.060991708E0,-1.243351936E-2
6.100840708E0,-8.991848230E-3
6.140689708E0,2.917702138E-2
6.180538708E0,-6.455910802E-3
6.220388708E0,1.924903393E-3
6.260237708E0,5.771201849E-4
6.300086708E0,-7.357551455E-3
6.339935708E0,3.569140434E-3
6.379784708E0,2.152652442E-2
6.419633708E0,5.368913412E-3
6.459482708E0,-2.397183001E-2
6.499331708E0,1.853684306E-2
6.539180708E0,2.676855326E-3
6.579029708E0,2.523073554E-3
6.618879708E0,1.625525951E-3
6.658728708E0,-1.543138683E-2
6.698577708E0,1.421107292E-2
6.738426708E0,-1.707562387E-2
6.778275708E0,1.675168812E-2
6.818124708E0,-6.603845358E-3
6.857973708E0,2.676855326E-3
6.897822708E0,-1.184178114E-2
6.937671708E0,1.783985496E-3
6.977520708E0,-1.602780282E-2
7.017369708E0,-1.497881234E-2
7.057219292E0,1.585355580E-2
7.097069292E0,2.318713367E-2
7.136918292E0,7.766271830E-3
7.176767292E0,-5.255477428E-3
7.216616292E0,-1.408886611E-2
7.256465292E0,4.474055529E-2
7.296314292E0,-6.896790862E-3
7.336163292E0,2.632884264E-2
7.376012292E0,-4.477446914E-2
7.415861292E0,2.225450277E-3
7.455710292E0,3.545576155E-2
7.495559292E0,3.425298929E-3
7.535408292E0,8.963781595E-3
7.575257292E0,-7.200261354E-3
7.615106292E0,2.827128768E-3
7.654955292E0,5.371837020E-3
7.694804292E0,-1.468586683E-2
7.734653292E0,-3.908278942E-2
7.774503292E0,-2.935185313E-2
7.814352292E0,-1.483380139E-2
7.854201292E0,2.722872913E-2
7.894050292E0,-3.169190884E-4
7.933899292E0,2.168966174E-2
7.973748292E0,-8.397771120E-3
8.013597292E0,2.243869007E-2
8.053446208E0,1.944433093E-2
8.093295208E0,2.683287263E-3
8.133144208E0,-1.048932016E-2
8.172993208E0,8.670836091E-3
8.212842208E0,1.184645891E-3
8.252691208E0,1.061854362E-2
8.292540208E0,-4.946159720E-3
8.332389208E0,4.786530733E-3
8.372238208E0,1.048990488E-3
8.412087208E0,1.526766479E-2
8.451936208E0,-1.107755005E-2
8.491785208E0,-1.586817384E-2
8.531634208E0,-4.490661621E-3
8.571483208E0,-1.721537232E-2
8.611332208E0,8.835727572E-3
8.651181208E0,-4.935634732E-3
8.691030208E0,-1.765976071E-2
8.730879208E0,9.278361797E-3
8.770728208E0,-3.446348906E-3
8.810577208E0,3.431146145E-3
8.850426208E0,2.004659414E-2
8.890275208E0,1.017064691E-2
8.930124208E0,-1.048347294E-2
8.969973208E0,-9.135105014E-3
9.009822208E0,1.555944085E-2
9.049672167E0,-8.842159510E-3
9.089520167E0,1.480690420E-2
9.129369167E0,3.283211589E-3
9.169219167E0,6.730729938E-3
9.209068167E0,-4.048027396E-3
9.248917167E0,2.090379596E-3
9.288766167E0,-2.851102352E-3
9.328615167E0,-4.500601888E-3
9.368464167E0,7.332408428E-4
9.408313167E0,1.150965929E-2
9.448162167E0,-1.947707534E-2
9.488011167E0,5.753660202E-4
9.527860167E0,-1.888650656E-2
9.567709167E0,5.362481475E-3
9.607558167E0,-6.768152118E-3
9.647407167E0,6.255936027E-3
9.687256167E0,-3.625858426E-3
9.727105167E0,1.059398532E-2
9.766954167E0,6.851182580E-3
9.806803167E0,2.962784171E-3
9.846651167E0,1.759427190E-3
9.886500167E0,-4.827461243E-3
9.926349167E0,-6.385159492E-4
9.966198167E0,-5.578243732E-3
1.000604717E1,1.208385587E-2
1.004589617E1,1.013556361E-2
1.008574517E1,1.306852698E-3
1.012559417E1,5.350787044E-3
1.016544317E1,-8.119443655E-3
1.020529217E1,1.162426472E-3
1.024514117E1,5.209869146E-3
1.028499017E1,7.221311331E-4
1.032483917E1,8.058047891E-3
1.036468817E1,8.505944610E-3
1.040453717E1,-8.105410337E-3
1.044438617E1,5.818564296E-3
1.048423517E1,-1.666456461E-3
1.052408417E1,1.309776306E-4
1.056393317E1,-1.368248463E-3
1.060378217E1,-6.158872247E-3
1.064363117E1,-1.708380997E-2
1.068348017E1,-7.203769684E-3
1.072332917E1,-5.705713034E-3
1.076317817E1,-5.856571198E-3
1.080302717E1,-7.656928897E-3
1.084287617E1,2.224280834E-3
1.088272517E1,4.471950531E-3
1.092257417E1,-4.657891989E-3
1.096242317E1,2.063306987E-2
1.100227217E1,-9.012898207E-3
1.104212092E1,-6.920764446E-3
1.108196992E1,9.544994831E-3
1.112181892E1,-2.579206824E-3
1.116166792E1,-3.367996216E-4
1.120151592E1,3.107795119E-3
1.124136492E1,6.250088811E-3
1.128121392E1,-9.326308966E-4
1.132106292E1,2.065236568E-3
1.136091192E1,-2.879168987E-3
1.140076092E1,6.398023367E-3
1.144060992E1,1.657100916E-2
1.148045892E1,1.282820642E-2
1.152030792E1,-4.985920787E-3
1.156015692E1,-1.096937656E-3
1.160000592E1,7.281537652E-3
1.163985492E1,-1.487648606E-2
1.167970392E1,-9.788823724E-3
1.171955292E1,-2.356018603E-2
1.175940192E1,-4.848511219E-3
1.179925092E1,-5.613327026E-5
1.183909992E1,1.101849318E-2
1.187894792E1,1.206280589E-2
1.191879692E1,1.133775115E-3
1.195864592E1,-1.708556414E-3
1.199849492E1,8.069157600E-5
1.203834392E1,3.226493597E-3
1.207819292E1,-7.848132849E-3
